Subject,Sample,Scan
203418,2,RL
204016,2,LR
205119,2,RL
206929,2,LR
208226,2,RL
209329,2,LR
210112,2,RL
227432,2,LR
236130,2,RL
299760,2,LR
334635,2,RL
350330,2,LR
358144,2,RL
387959,2,LR
465852,2,RL
468050,2,LR
481042,2,RL
499566,2,LR
510225,2,RL
552241,2,RL
567759,2,LR
599671,2,RL
672756,2,LR
679568,2,RL
792564,2,LR
835657,2,RL
857263,2,LR
877269,2,RL
894067,2,LR
899885,2,RL
110411,2,LR
112112,2,RL
112314,2,LR
126426,2,RL
127832,2,LR
130316,2,RL
131823,2,LR
135629,2,RL
154936,2,RL
158136,2,LR
161630,2,RL
169545,2,LR
175742,2,RL
179245,2,LR
183034,2,RL
193845,2,LR
211114,2,RL
263436,2,LR
300719,2,RL
303119,2,LR